Product_ID,Product_Name,Category,Price,Units_Sold,Revenue,Competitor_Name,Market_Share_%,Marketing_Strategy,Top_Social_Media,Current_Trends,Customer_Rating
82,Cutlery Set,Kitchenware,794.79,2424,249757.08,Jonathan Adler,12.94,Exclusive collections,Instagram,Bold Colors,2.9
83,Storage Jar,Kitchenware,700.75,298,176663.43,Swoon,8.84,Seasonal sales,Pinterest,Sustainable,1.8
84,Table Lamp,Lighting,94.34,1409,404015.16,Bob’s Discount Furniture,2.93,Free shipping,Twitter,Vintage,2.6
85,Picture Frame,Decor Accessories,479.84,3049,313647.69,Overstock,11.88,Exclusive collections,Twitter,Bold Colors,3.3
86,Bookshelf,Furniture,316.98,569,419019.67,Joybird,9.18,Seasonal sales,Pinterest,Bold Colors,4.5
87,Tapestry,Wall Art,310.09,2857,483612.88,La-Z-Boy,7.12,Exclusive collections,Instagram,Bold Colors,3.1
88,Storage Jar,Kitchenware,846.96,4428,197414.25,RH (Restoration Hardware),8.01,Free shipping,Pinterest,Maximalism,1.9
89,Area Rug,Textiles,612.4,2133,328893.27,Zara Home,4.17,Eco-friendly products,Instagram,Vintage,1.9
90,Cushion Cover,Textiles,398.73,1124,152106.39,Overstock,3.2,Custom designs,Twitter,Tech Integration,3.7
91,Bedspread,Textiles,319.92,772,108133.08,West Elm,4.75,Free shipping,Instagram,Vintage,4.5
92,Tapestry,Wall Art,986.07,2792,448951.38,Arhaus,7.82,Seasonal sales,Pinterest,Minimalism,3.3
93,Cutlery Set,Kitchenware,59.22,1747,438750.32,Zara Home,4.58,Eco-friendly products,Pinterest,Sustainable,1.4
94,Curtains,Textiles,771.16,155,167644.18,Studio McGee,14.72,Free shipping,Instagram,Vintage,4.9
95,Floor Lamp,Lighting,415.96,2331,453918.74,Birch Lane,7.9,Exclusive collections,Twitter,Sustainable,2.3
96,Curtains,Textiles,762.08,303,462417.86,Amazon Basics,11.43,Custom designs,Facebook,Bold Colors,3.2
97,Sofa Set,Furniture,302.5,4522,183043.86,Williams-Sonoma,6.91,Discounts,Instagram,Bold Colors,1.9
98,Clock,Decor Accessories,43.68,1719,340933.11,Ligne Roset,7.56,Custom designs,Pinterest,Maximalism,1.5
99,Vase,Decor Accessories,980.58,2634,283045.48,Anthropologie,10.69,Custom designs,Twitter,Tech Integration,4.8
100,Cutlery Set,Kitchenware,876.86,4070,430481.55,Birch Lane,11.78,Seasonal sales,Instagram,Maximalism,2.4
101,Throw Blanket,Textiles,80.11,4852,230777.14,Birch Lane,1.79,Discounts,YouTube,Bold Colors,3.3
102,Pendant Lamp,Lighting,152.26,3666,393511.11,RH (Restoration Hardware),7.98,Discounts,YouTube,Maximalism,1.8
103,Dining Table,Furniture,604.19,4910,104292.93,La-Z-Boy,4.0,Custom designs,Twitter,Vintage,4.7
104,Throw Blanket,Textiles,11.94,4425,233363.26,LuxDeco,14.62,Custom designs,YouTube,Vintage,2.1
105,Candle Holder,Decor Accessories,663.14,1470,10552.15,Room & Board,6.62,Eco-friendly products,Pinterest,Bold Colors,2.6
106,Picture Frame,Decor Accessories,87.84,4370,481608.65,La-Z-Boy,6.45,Seasonal sales,Twitter,Tech Integration,2.6
107,Framed Print,Wall Art,792.75,449,10569.94,Arhaus,10.86,Free shipping,Pinterest,Bold Colors,1.1
108,Metal Wall Art,Wall Art,718.21,1209,247206.25,Joybird,13.86,Exclusive collections,Twitter,Bold Colors,4.4
109,Picture Frame,Decor Accessories,680.19,315,32767.52,Habitat,10.1,Exclusive collections,Twitter,Maximalism,4.9
110,Coffee Table,Furniture,513.36,3751,149466.22,IKEA,8.07,Eco-friendly products,Twitter,Minimalism,2.6
111,Dinnerware,Kitchenware,787.86,4020,260421.37,Value City Furniture,7.07,Exclusive collections,YouTube,Minimalism,2.0
112,Cushion Cover,Textiles,196.35,3913,369514.3,Joybird,4.15,Free shipping,Twitter,Tech Integration,2.6
113,Candle Holder,Decor Accessories,973.97,777,415706.36,Target,12.11,Discounts,Pinterest,Bold Colors,1.9
114,Clock,Decor Accessories,151.52,106,372967.2,The Range,6.57,Custom designs,Instagram,Vintage,3.3
115,Framed Print,Wall Art,298.41,3160,358738.13,Ashley Furniture,8.23,Exclusive collections,Instagram,Minimalism,4.4
116,Curtains,Textiles,299.72,2890,32251.06,Studio McGee,7.31,Free shipping,YouTube,Tech Integration,2.3
117,Pendant Lamp,Lighting,617.21,784,211490.98,Home Depot,6.51,Exclusive collections,Facebook,Minimalism,2.4
118,Tapestry,Wall Art,110.48,3408,354328.91,Etsy,9.24,Exclusive collections,Pinterest,Maximalism,2.9
119,Curtains,Textiles,644.75,1592,209567.62,Ligne Roset,12.28,Free shipping,Instagram,Tech Integration,4.5
120,Framed Print,Wall Art,38.04,1639,162323.94,Etsy,7.6,Discounts,YouTube,Vintage,1.3
121,Sculpture,Decor Accessories,606.39,3083,5124.46,Bob’s Discount Furniture,7.0,Discounts,Twitter,Tech Integration,2.0
122,Wardrobe,Furniture,358.63,850,354248.27,West Elm,4.73,Eco-friendly products,Facebook,Tech Integration,2.4
123,Vase,Decor Accessories,536.13,2977,266660.95,Article,6.28,Discounts,YouTube,Vintage,2.0
124,Serving Tray,Kitchenware,502.3,2494,291439.81,Jonathan Adler,9.33,Exclusive collections,Twitter,Vintage,4.1
125,Picture Frame,Decor Accessories,430.75,696,35957.69,Williams-Sonoma,12.57,Discounts,Twitter,Sustainable,2.5
126,Serving Tray,Kitchenware,37.96,1231,310776.73,Houzz,6.36,Seasonal sales,Instagram,Maximalism,1.3
127,Floor Lamp,Lighting,515.8,231,296119.31,Furniture Village,11.8,Free shipping,YouTube,Minimalism,2.6
128,Clock,Decor Accessories,980.16,961,214251.06,DFS,3.75,Seasonal sales,YouTube,Minimalism,2.9
129,Poster,Wall Art,627.74,2035,343163.17,Design Within Reach,9.61,Eco-friendly products,Twitter,Sustainable,2.5
130,Tapestry,Wall Art,24.34,45,316551.6,Value City Furniture,1.71,Discounts,Pinterest,Tech Integration,2.6
131,Table Lamp,Lighting,732.76,783,249026.68,Houzz,5.59,Seasonal sales,Twitter,Maximalism,4.6
132,Chandelier,Lighting,884.07,2143,278899.85,Havertys,2.71,Custom designs,Twitter,Vintage,4.1
133,Picture Frame,Decor Accessories,290.8,4607,24034.55,LuxDeco,2.69,Custom designs,Twitter,Minimalism,4.6
134,Pendant Lamp,Lighting,607.56,3290,282437.81,Studio McGee,7.35,Seasonal sales,Facebook,Bold Colors,1.7
135,Curtains,Textiles,856.1,3683,436618.49,Kirkland’s,9.34,Eco-friendly products,Facebook,Minimalism,4.9
136,Canvas Painting,Wall Art,693.76,4709,275036.39,CB2,9.81,Seasonal sales,YouTube,Tech Integration,1.4
137,Wardrobe,Furniture,383.99,111,348954.04,La-Z-Boy,4.06,Seasonal sales,Pinterest,Bold Colors,2.0
138,Tapestry,Wall Art,424.21,3447,441900.55,Joybird,14.79,Discounts,Twitter,Bold Colors,4.7
139,Table Lamp,Lighting,481.59,1026,196371.88,DFS,12.87,Exclusive collections,YouTube,Maximalism,4.9
140,Sofa Set,Furniture,442.91,3200,210838.0,Crate & Barrel,12.74,Custom designs,Twitter,Maximalism,1.8
141,Framed Print,Wall Art,842.09,2203,323947.33,Target,14.2,Exclusive collections,Pinterest,Tech Integration,2.8
142,Curtains,Textiles,682.34,1223,495300.97,AllModern,5.31,Free shipping,Facebook,Sustainable,4.1
143,Sofa Set,Furniture,223.04,245,264343.41,Anthropologie,5.12,Free shipping,YouTube,Maximalism,3.5
144,Area Rug,Textiles,402.46,3794,463744.18,Swoon,11.95,Eco-friendly products,YouTube,Sustainable,2.9
145,Vase,Decor Accessories,212.53,2515,36493.82,Amazon Basics,13.35,Custom designs,YouTube,Tech Integration,3.1
146,Serving Tray,Kitchenware,125.92,2557,454347.17,Living Spaces,9.45,Seasonal sales,Facebook,Tech Integration,4.0
147,Sofa Set,Furniture,290.81,4832,94908.09,Value City Furniture,11.58,Eco-friendly products,Pinterest,Maximalism,4.3
148,Sofa Set,Furniture,578.28,4643,234320.68,La-Z-Boy,3.24,Custom designs,Instagram,Bold Colors,4.8
149,Storage Jar,Kitchenware,854.93,42,108442.86,Studio McGee,1.18,Eco-friendly products,Twitter,Tech Integration,2.6
150,Table Lamp,Lighting,61.5,4245,411374.26,La-Z-Boy,14.7,Eco-friendly products,Facebook,Sustainable,4.7
151,Table Lamp,Lighting,554.21,2150,74395.99,Serena & Lily,14.87,Custom designs,YouTube,Maximalism,3.8
152,Cutlery Set,Kitchenware,27.03,3523,369202.57,Loaf,1.76,Custom designs,YouTube,Vintage,4.7
153,Wall Sconce,Lighting,957.55,3077,471523.28,Overstock,2.1,Seasonal sales,Instagram,Sustainable,4.1
154,Cookware,Kitchenware,116.33,2745,455219.9,Made.com,9.01,Seasonal sales,Pinterest,Minimalism,3.9
155,Area Rug,Textiles,524.95,4057,341684.84,Serena & Lily,6.53,Custom designs,Facebook,Vintage,2.3
156,Sofa Set,Furniture,860.87,2093,60505.79,Ligne Roset,1.69,Discounts,Instagram,Tech Integration,3.4
157,Wardrobe,Furniture,213.77,488,24794.0,Pottery Barn,7.29,Seasonal sales,YouTube,Maximalism,3.4
158,Metal Wall Art,Wall Art,831.14,2496,361335.49,Habitat,3.4,Discounts,Instagram,Tech Integration,1.6
159,Area Rug,Textiles,707.1,4898,200716.14,Value City Furniture,10.9,Custom designs,Twitter,Maximalism,3.5
160,Floor Lamp,Lighting,267.96,2631,117565.94,Anthropologie,12.41,Exclusive collections,Facebook,Tech Integration,1.8
161,Metal Wall Art,Wall Art,770.85,3269,166926.84,Arhaus,5.21,Exclusive collections,Pinterest,Bold Colors,3.1
162,Canvas Painting,Wall Art,555.4,88,337609.4,Houzz,3.01,Exclusive collections,YouTube,Vintage,4.6
163,Wall Sconce,Lighting,219.59,1524,220184.11,Houzz,6.78,Exclusive collections,Twitter,Tech Integration,2.9
164,Chandelier,Lighting,375.82,3848,53126.52,Arhaus,13.89,Custom designs,Facebook,Tech Integration,1.5
165,Floor Lamp,Lighting,698.49,2021,11520.03,Room & Board,5.56,Discounts,Twitter,Sustainable,2.1
166,Floor Lamp,Lighting,715.03,126,413177.2,Room & Board,2.68,Discounts,Twitter,Tech Integration,1.2
167,Dining Table,Furniture,775.18,3361,124311.32,The Range,10.98,Eco-friendly products,YouTube,Tech Integration,2.2
168,Poster,Wall Art,914.85,939,52031.01,DFS,2.95,Eco-friendly products,Facebook,Vintage,1.5
169,Table Lamp,Lighting,217.0,4807,270982.77,Joybird,13.54,Discounts,Facebook,Vintage,1.4
170,Storage Jar,Kitchenware,630.74,4958,150069.65,Studio McGee,9.9,Custom designs,Instagram,Tech Integration,4.2
171,Cushion Cover,Textiles,475.41,3884,168397.2,One Kings Lane,7.84,Discounts,Twitter,Tech Integration,1.2
172,Clock,Decor Accessories,957.9,1370,96039.76,Loaf,8.1,Exclusive collections,Facebook,Minimalism,1.3
173,Candle Holder,Decor Accessories,464.13,966,443934.57,Joybird,8.79,Exclusive collections,Pinterest,Sustainable,3.4
174,Cutlery Set,Kitchenware,388.4,3727,62694.0,Room & Board,1.1,Eco-friendly products,Pinterest,Tech Integration,4.8
175,Pendant Lamp,Lighting,676.26,3855,491640.55,AllModern,9.34,Eco-friendly products,Twitter,Sustainable,1.3
176,Table Lamp,Lighting,103.34,4612,292501.49,Anthropologie,5.84,Eco-friendly products,Instagram,Maximalism,2.6
177,Area Rug,Textiles,330.05,1204,434255.25,Blu Dot,5.29,Custom designs,Facebook,Bold Colors,3.6
178,Coffee Table,Furniture,664.99,534,20311.43,Anthropologie,7.35,Free shipping,Pinterest,Tech Integration,4.5
179,Sofa Set,Furniture,351.68,4767,101849.3,Article,2.69,Custom designs,Facebook,Tech Integration,3.9
180,Cushion Cover,Textiles,46.0,3003,226285.4,Zara Home,13.35,Free shipping,Facebook,Bold Colors,1.2
181,Clock,Decor Accessories,111.48,4524,433472.18,Ashley Furniture,11.03,Custom designs,Pinterest,Minimalism,2.0
182,Serving Tray,Kitchenware,748.18,4026,493882.84,Williams-Sonoma,6.28,Free shipping,Pinterest,Bold Colors,3.6
183,Candle Holder,Decor Accessories,685.63,2980,236877.88,West Elm,11.76,Free shipping,Instagram,Minimalism,3.4
184,Bedspread,Textiles,274.27,750,97529.31,Loaf,7.85,Custom designs,Facebook,Sustainable,4.1
185,Area Rug,Textiles,243.49,808,205759.88,Etsy,11.37,Custom designs,Pinterest,Minimalism,1.8
186,Sculpture,Decor Accessories,969.15,2473,436884.97,Habitat,7.67,Seasonal sales,Facebook,Bold Colors,2.4
187,Pendant Lamp,Lighting,292.1,2629,139474.84,Jonathan Adler,10.55,Free shipping,Facebook,Tech Integration,4.7
188,Wardrobe,Furniture,268.57,1985,172438.33,Urban Outfitters,8.16,Custom designs,Pinterest,Maximalism,1.8
189,Table Lamp,Lighting,91.57,4743,380309.92,Blu Dot,10.24,Seasonal sales,Twitter,Tech Integration,1.6
190,Floor Lamp,Lighting,650.12,359,65633.98,Room & Board,3.31,Eco-friendly products,Facebook,Sustainable,2.9
191,Cushion Cover,Textiles,630.57,3731,94916.21,Article,1.34,Free shipping,YouTube,Sustainable,4.5
192,Bookshelf,Furniture,434.59,1269,127311.51,Target,7.47,Free shipping,Twitter,Bold Colors,4.0
193,Vase,Decor Accessories,714.73,1584,51021.61,The Range,6.91,Exclusive collections,Twitter,Sustainable,1.1
194,Dinnerware,Kitchenware,172.05,1427,66180.83,Anthropologie,8.16,Eco-friendly products,Facebook,Sustainable,3.5
195,Picture Frame,Decor Accessories,988.31,2511,414626.96,Blu Dot,4.36,Free shipping,YouTube,Bold Colors,2.6
196,Chandelier,Lighting,576.68,2830,277175.75,RH (Restoration Hardware),11.74,Free shipping,Facebook,Maximalism,4.4
197,Framed Print,Wall Art,158.46,2458,115403.28,One Kings Lane,3.53,Seasonal sales,Instagram,Sustainable,2.8
198,Wall Sconce,Lighting,272.06,3117,234495.41,World Market,13.24,Eco-friendly products,Twitter,Maximalism,4.0
199,Coffee Table,Furniture,933.36,1540,462970.53,Jonathan Adler,10.76,Free shipping,Instagram,Minimalism,1.9
200,Picture Frame,Decor Accessories,797.41,360,376533.37,Zara Home,11.02,Custom designs,Pinterest,Maximalism,1.8
201,Area Rug,Textiles,38.73,4414,334223.14,Houzz,2.72,Exclusive collections,Facebook,Bold Colors,3.0
202,Table Lamp,Lighting,136.03,971,296983.05,Furniture Village,10.02,Free shipping,Instagram,Sustainable,2.2
203,Table Lamp,Lighting,757.24,1985,460679.32,Serena & Lily,12.97,Discounts,Pinterest,Bold Colors,2.4
204,Curtains,Textiles,843.34,4444,427218.51,Ashley Furniture,12.31,Custom designs,Pinterest,Vintage,3.5
205,Curtains,Textiles,915.41,3724,57535.09,Joybird,11.58,Seasonal sales,Twitter,Tech Integration,4.6
206,Serving Tray,Kitchenware,274.85,4168,41414.08,CB2,6.38,Discounts,Instagram,Bold Colors,3.5
207,Area Rug,Textiles,282.51,1511,265709.46,Habitat,11.03,Custom designs,Instagram,Sustainable,4.5
208,Cutlery Set,Kitchenware,483.48,3738,435366.88,Target,13.72,Seasonal sales,Pinterest,Tech Integration,2.7
209,Canvas Painting,Wall Art,858.6,80,15665.03,BoConcept,9.5,Exclusive collections,Facebook,Sustainable,4.4
210,Picture Frame,Decor Accessories,181.94,1219,191616.08,Birch Lane,1.29,Exclusive collections,Twitter,Minimalism,3.0
211,Cookware,Kitchenware,767.51,4188,310426.83,RH (Restoration Hardware),3.89,Seasonal sales,Pinterest,Tech Integration,1.4
212,Metal Wall Art,Wall Art,290.74,892,16267.79,Anthropologie,8.33,Discounts,YouTube,Sustainable,1.2
213,Cutlery Set,Kitchenware,289.29,26,368679.62,Studio McGee,11.0,Discounts,Instagram,Tech Integration,4.7
214,Floor Lamp,Lighting,474.79,3927,114371.72,Arhaus,6.84,Exclusive collections,Pinterest,Tech Integration,3.0
215,Metal Wall Art,Wall Art,768.7,971,109497.53,Kirkland’s,8.31,Eco-friendly products,YouTube,Sustainable,3.5
216,Tapestry,Wall Art,815.86,868,53466.19,Pottery Barn,8.74,Seasonal sales,Pinterest,Minimalism,1.9
217,Sculpture,Decor Accessories,27.61,1874,400095.2,LuxDeco,10.76,Discounts,Twitter,Maximalism,3.6
218,Canvas Painting,Wall Art,614.54,1661,177758.73,Article,7.88,Discounts,Instagram,Maximalism,4.1
219,Candle Holder,Decor Accessories,551.91,2632,438832.84,Article,7.66,Exclusive collections,Twitter,Tech Integration,2.4
220,Coffee Table,Furniture,873.0,3485,32418.37,Arhaus,3.27,Custom designs,Instagram,Maximalism,4.5
221,Throw Blanket,Textiles,335.7,1942,350738.39,BoConcept,6.65,Exclusive collections,YouTube,Tech Integration,3.9
222,Poster,Wall Art,510.76,4704,42892.62,RH (Restoration Hardware),1.28,Discounts,Facebook,Maximalism,4.6
223,Curtains,Textiles,917.4,300,93262.64,Serena & Lily,8.03,Custom designs,Twitter,Bold Colors,1.5
224,Framed Print,Wall Art,897.14,1226,169039.72,IKEA,7.7,Exclusive collections,Facebook,Vintage,4.8
225,Sofa Set,Furniture,539.57,4098,152232.77,AllModern,8.42,Discounts,YouTube,Bold Colors,1.2
226,Bookshelf,Furniture,764.75,1001,492449.68,Amazon Basics,10.99,Custom designs,Instagram,Vintage,1.6
227,Cookware,Kitchenware,669.81,2127,253749.05,Living Spaces,1.14,Discounts,Pinterest,Tech Integration,3.1
228,Wall Sconce,Lighting,328.12,553,55627.84,Ashley Furniture,5.34,Exclusive collections,Twitter,Maximalism,1.9
229,Dining Table,Furniture,747.65,4368,10991.01,Loaf,9.77,Free shipping,YouTube,Maximalism,4.1
230,Wall Sconce,Lighting,985.33,2878,370881.14,Birch Lane,10.39,Seasonal sales,Pinterest,Maximalism,1.6
231,Bookshelf,Furniture,417.75,2085,331009.59,Ligne Roset,12.01,Discounts,Instagram,Bold Colors,3.3
232,Candle Holder,Decor Accessories,190.25,2495,317238.33,Bob’s Discount Furniture,14.64,Free shipping,YouTube,Tech Integration,3.3
